summary,epic,id,title,priority,depends_on,issue_type
[A1] 注册登录（手机/三方OAuth）,A,A1,注册登录（手机/三方OAuth）,P0,,Story
[A2] 账号注销与数据导出,A,A2,账号注销与数据导出,P1,A1,Story
[A3] 隐私设置与黑名单屏蔽,A,A3,隐私设置与黑名单屏蔽,P0,A1,Story
[A4] 实名KOL背书入口,A,A4,实名KOL背书入口,P2,"A1,E4",Story
[B1] 演出条目唯一键与展示,B,B1,演出条目唯一键与展示,P0,,Story
[B2] 重复条目合并,B,B2,重复条目合并,P1,B1,Story
[B3] 条目详情与统计,B,B3,条目详情与统计,P0,B1,Story
[B4] UGC点赞最高封面,B,B4,UGC点赞最高封面,P1,"B1,C5",Story
[B5] 自拍海报门票附件,B,B5,自拍海报门票附件,P1,"B1,C1",Story
[B6] 关注乐队演出提醒,B,B6,关注乐队演出提醒,P2,"A1,B1,H2",Story
[C1] 图文视频Repo绑定条目,C,C1,图文视频Repo绑定条目,P0,"A1,B1",Story
[C2] 三维Vibe评分,C,C2,三维Vibe评分,P0,C1,Story
[C3] 一句话记忆必填,C,C3,一句话记忆必填,P0,C1,Story
[C4] 可见性默认私密与公开到条目,C,C4,可见性默认私密与公开到条目,P0,"C1,A3",Story
[C5] 条目Repo列表热门高赞与最新,C,C5,条目Repo列表热门高赞与最新,P0,"C4,B1",Story
[C6] 记忆墙与同标签筛选,C,C6,记忆墙与同标签筛选,P0,"C3,C4,B1",Story
[C7] AI关键词扩写,C,C7,AI关键词扩写,P2,C1,Story
[C8] AI摘要建议短句,C,C8,AI摘要建议短句,P2,"C3,C1",Story
[D1] 个人时间线,D,D1,个人时间线,P0,C1,Story
[D2] 地图视图简版,D,D2,地图视图简版,P1,"C1,B1",Story
[D3] 云存储与配额,D,D3,云存储与配额,P0,C1,Story
[D4] 记录编辑删除批量可见性,D,D4,记录编辑删除批量可见性,P0,"C1,C4",Story
[E1] LiveFragment非阻断EXIF票根,E,E1,LiveFragment非阻断EXIF票根,P2,"C1,B1",Story
[E2] 未匹配仍发布未验证标识,E,E2,未匹配仍发布未验证标识,P2,E1,Story
[E3] 票根系统分享,E,E3,票根系统分享,P2,E1,Story
[E4] IdentityProof官方见证,E,E4,IdentityProof官方见证,P2,"A4,C1",Story
[E5] MemoryArchaeology审核复古卡,E,E5,MemoryArchaeology审核复古卡,P2,C1,Story
[E6] 勋章展示体系,E,E6,勋章展示体系,P3,"E1,E5",Story
[F1] 同场用户弱列表,F,F1,同场用户弱列表,P1,"C4,B1",Story
[F2] 审美重合度展示,F,F2,审美重合度展示,P2,"C2,H1",Story
[F3] 发现页推荐,F,F3,发现页推荐,P1,"B1,C1",Story
[G1] Repo点赞,G,G1,Repo点赞,P0,C4,Story
[G2] 条目下评论,G,G2,条目下评论,P0,"C4,G1",Story
[G3] 举报审核申诉,G,G3,举报审核申诉,P1,G2,Story
[G4] 半熟私聊,G,G4,半熟私聊,P2,"A1,G3",Story
[G5] 同场小群组队,G,G5,同场小群组队,P3,"G4,B6",Story
[H1] 网易云偏好同步,H,H1,网易云偏好同步,P2,A1,Story
[H2] 票务元数据拉取对齐,H,H2,票务元数据拉取对齐,P1,B1,Story
[H3] 搜索演出乐队场地,H,H3,搜索演出乐队场地,P0,B1,Story
[I1] 会员配额票根导出,I,I1,会员配额票根导出,P3,"D3,E3",Story
[I2] B端Vibe聚合报告,I,I2,B端Vibe聚合报告,P3,C2,Story
[I3] 品牌合作勋章皮肤,I,I3,品牌合作勋章皮肤,P3,E6,Story
[J1] iOS原生核心流程,J,J1,iOS原生核心流程,P0,API,Story
[J2] Android原生核心流程,J,J2,Android原生核心流程,P0,API,Story
[J3] 小程序轻量路径,J,J3,小程序轻量路径,P2,API,Story
[J4] 运营后台审核合并,J,J4,运营后台审核合并,P2,"B2,E5",Story
